9.72    0  	0 
9.74    0.08 	0.01   
9.76    0.10 	0.04   
9.78    0.11 	0.08   
9.80    0.11 	0.14   
9.82    0.11 	0.18   
9.84    0.15 	0.15   
9.86    0.17 	0.12   
9.88    0.19 	0.10   
9.90    0.17 	0.08   
9.92    0.13 	0.06   
9.94    0.13 	0.04   
9.96    0.16 	0.01   
9.98    0.20 	0.06   
10.00   0.24 	0.13   
10.02   0.23 	0.22   
10.04   0.19 	0.32   
10.06   0.17 	0.46   
10.08   0.15 	0.61   
10.10   0.25 	0.60   
10.12   0.37 	0.53   
10.14   0.45 	0.34   
10.16   0.52 	0.13   
10.18   0.54 	0.16   
10.20   0.56 	0.23   
10.22   0.58 	0.31   
10.24   0.60 	0.40   
10.26   0.64 	0.45   
10.28   0.69 	0.50   
10.30   0.79 	0.61   
10.32   0.90 	0.73   
10.34   1.00 	0.82   
10.36   1.10 	0.89   
10.38   1.18 	0.93   
10.40   1.25 	0.96   
10.42   1.40 	1.03   
10.44   1.62 	1.11   
10.46   1.73 	1.18   
10.48   1.79 	1.24   
10.50   1.78 	1.30   
10.52   1.66 	1.37   
10.54   1.62 	1.39   
10.56   1.68 	1.33   
10.58   1.75 	1.29   
10.60   1.89 	1.34   
10.62   2.01 	1.40   
10.64   2.06 	1.50   
10.66   2.09 	1.59   
10.68   2.14 	1.64   
10.70   2.20 	1.66   
10.72   2.24 	1.75   
10.74   2.28 	1.88   
10.76   2.36 	2.00   
10.78   2.51 	2.09   
10.80   2.69 	2.21   
10.82   3.05 	2.42   
10.84   3.37 	2.63   
10.86   3.51 	2.86   
10.88   3.58 	3.09   
10.90   3.76 	3.25   
10.92   4.00 	3.34   
10.94   4.39 	3.64   
10.96   5.01 	4.18   
10.98   5.60 	4.71   
11.00   5.98 	5.05   
11.02   6.29 	5.33   
11.04   7.04 	5.98   
11.06   7.92 	6.74   
11.08   9.04 	7.88   
11.10   10.61 	9.69   
11.12   12.14 	11.47  
11.14   13.23 	12.07  
11.16   14.22 	12.52  
11.18   16.00 	13.84  
11.20   18.27 	15.71  
11.22   20.49 	17.69  
11.24   22.59 	20.54  
11.26   24.55 	23.36  
11.28   28.36 	26.39  
11.30   32.68 	29.40  
11.32   37.50 	33.56  
11.34   43.56 	40.32  
11.36   49.59 	47.12  
11.38   52.38 	48.80  
11.40   53.86 	48.47  
11.42   57.03 	50.44  
11.44   62.87 	55.97  
11.46   68.79 	61.86  
11.48   75.60 	70.68  
11.50   83.07 	81.42  
11.52   89.34 	89.53  
11.54   91.76 	89.08  
11.56   93.94 	88.31  
11.58   96.14 	90.35  
11.60   98.30 	93.92  
11.62   100.00 	96.97  
11.64   99.91 	98.58  
11.66   99.59 	100.00 
11.68   98.61 	99.89  
11.70   96.91 	98.09  
11.72   95.19 	96.32  
11.74   92.97 	94.93  
11.76   90.57 	93.70  
11.78   88.47 	92.71  
11.80   87.07 	92.31  
11.82   85.84 	92.08  
11.84   83.78 	90.81  
11.86   80.96 	88.59  
11.88   78.38 	86.60  
11.90   75.98 	84.38  
11.92   73.72 	82.07  
11.94   71.69 	80.11  
11.96   71.00 	80.22  
11.98   70.64 	80.83  
12.00   69.87 	80.69  
12.02   67.67 	78.15  
12.04   65.32 	75.41  
12.06   64.61 	74.59  
12.08   65.63 	75.77  
12.10   66.63 	76.92  
12.12   67.43 	77.73  
12.14   68.06 	78.23  
12.16   68.73 	78.80  
12.18   67.78 	77.12  
12.20   66.22 	74.61  
12.22   64.79 	72.30  
12.24   64.76 	72.00  
12.26   65.01 	72.09  
12.28   65.02 	71.89  
12.30   64.08 	70.41  
12.32   62.89 	68.60  
12.34   61.74 	66.93  
12.36   60.85 	66.36  
12.38   60.00 	65.85  
12.40   59.06 	64.96  
12.42   57.85 	62.40  
12.44   56.66 	59.80  
12.46   55.57 	57.73  
12.48   54.64 	56.80  
12.50   53.73 	56.03  
12.52   52.38 	54.64  
12.54   49.59 	51.32  
12.56   46.69 	47.83  
12.58   43.87 	44.48  
12.60   41.45 	41.95  
12.62   39.07 	39.47  
12.64   36.83 	37.16  
12.66   35.69 	36.36  
12.68   34.60 	35.63  
12.70   33.25 	34.48  
12.72   30.09 	30.31  
12.74   26.60 	25.58  
12.76   23.27 	21.15  
12.78   21.01 	18.77  
12.80   19.27 	17.34  
12.82   17.55 	15.89  
12.84   16.29 	14.63  
12.86   15.40 	13.50  
12.88   14.50 	12.38  
12.90   13.48 	11.41  
12.92   12.31 	10.64  
12.94   11.15 	9.85   
12.96   10.19 	9.20   
12.98   9.64 	8.86   
13.00   9.12 	8.53   
13.02   8.57 	8.10   
13.04   7.81 	7.16   
13.06   7.03 	6.13   
13.08   6.28 	5.16   
13.10   5.74 	4.66   
13.12   5.33 	4.44   
13.14   4.92 	4.21   
13.16   4.57 	4.00   
13.18   4.34 	3.82   
13.20   4.11 	3.64   
13.22   3.87 	3.43   
13.24   3.53 	2.67   
13.26   3.19 	1.90   
13.28   2.86 	1.13   
13.30   2.59 	0.72   
13.32   2.36 	0.49   
13.34   2.12 	0.24   
13.36   0       0 
