9.00    0.00 	0.00
9.08    0.16 	0.03   
9.10    0.19 	0.06   
9.12    0.08 	0.01   
9.14    0.16 	0.02   
9.16    0.33 	0.05   
9.18    0.47 	0.05   
9.20    0.42 	0.06   
9.22    0.24 	0.08   
9.24    0.26 	0.10   
9.26    0.37 	0.11   
9.28    0.51 	0.11   
9.30    0.52 	0.11   
9.32    0.46 	0.11   
9.34    0.80 	0.07   
9.36    1.15 	0.05   
9.38    1.17 	0.13   
9.40    0.92 	0.22   
9.42    0.37 	0.34   
9.44    0.43 	0.35   
9.46    0.57 	0.34   
9.48    0.70 	0.34   
9.50    0.68 	0.34   
9.52    0.50 	0.37   
9.54    0.46 	0.41   
9.56    0.54 	0.47   
9.58    0.72 	0.53   
9.60    0.91 	0.60   
9.62    0.77 	0.71   
9.64    0.74 	0.82   
9.66    0.83 	0.94   
9.68    1.04 	1.02   
9.70    1.33 	1.08   
9.72    1.49 	1.18   
9.74    1.58 	1.31   
9.76    1.76 	1.45   
9.78    1.95 	1.61   
9.80    2.17 	1.83   
9.82    2.34 	2.10   
9.84    2.42 	2.44   
9.86    2.56 	2.79   
9.88    2.86 	3.13   
9.90    3.31 	3.58   
9.92    3.88 	4.12   
9.94    4.50 	4.70   
9.96    5.15 	5.33   
9.98    5.97 	6.11   
10.00   6.86 	6.96   
10.02   8.04 	8.11   
10.04   9.37 	9.39   
10.06   11.17 	10.55  
10.08   13.13 	11.72  
10.10   15.12 	13.80  
10.12   17.12 	16.18  
10.14   19.44 	19.23  
10.16   21.88 	22.49  
10.18   25.37 	26.12  
10.20   29.13 	29.96  
10.22   33.58 	34.97  
10.24   38.25 	40.28  
10.26   44.22 	45.08  
10.28   50.37 	49.87  
10.30   56.21 	55.71  
10.32   61.97 	61.87  
10.34   67.75 	67.95  
10.36   73.44 	73.90  
10.38   78.73 	78.47  
10.40   83.88 	82.58  
10.42   87.87 	87.32  
10.44   91.10 	92.69  
10.46   94.16 	94.91  
10.48   96.92 	95.23  
10.50   98.59 	96.04  
10.52   98.50 	97.64  
10.54   98.70 	98.87  
10.56   99.20 	99.74  
10.58   99.71 	100.00 
10.60   100.00 	97.05  
10.62   99.88 	94.67  
10.64   97.15 	96.20  
10.66   94.60 	97.97  
10.68   94.99 	97.62  
10.70   96.71 	96.27  
10.72   96.02 	93.78  
10.74   94.26 	90.63  
10.76   92.38 	89.80  
10.78   90.16 	92.45  
10.80   88.69 	94.06  
10.82   90.80 	91.35  
10.84   92.31 	88.94  
10.86   90.36 	87.63  
10.88   87.34 	86.66  
10.90   85.92 	87.59  
10.92   85.58 	90.16  
10.94   86.51 	90.19  
10.96   89.14 	87.05  
10.98   91.22 	84.42  
11.00   89.13 	86.47  
11.02   86.22 	89.23  
11.04   86.30 	91.93  
11.06   87.42 	94.77  
11.08   89.28 	95.52  
11.10   92.29 	92.19  
11.12   95.15 	88.85  
11.14   92.36 	90.80  
11.16   88.99 	93.17  
11.18   88.34 	94.12  
11.20   89.39 	94.18  
11.22   90.13 	93.59  
11.24   89.11 	88.79  
11.26   88.36 	83.93  
11.28   83.19 	80.21  
11.30   76.62 	76.85  
11.32   71.25 	73.35  
11.34   68.51 	69.57  
11.36   65.92 	65.80  
11.38   62.01 	60.52  
11.40   57.70 	54.72  
11.42   52.95 	49.24  
11.44   47.38 	44.17  
11.46   41.83 	39.18  
11.48   37.33 	34.71  
11.50   33.55 	30.64  
11.52   29.80 	26.68  
11.54   26.10 	23.01  
11.56   22.41 	19.32  
11.58   19.31 	16.81  
11.60   16.57 	14.98  
11.62   13.95 	13.16  
11.64   12.19 	11.49  
11.66   10.57 	9.88   
11.68   9.17 	8.50   
11.70   8.05 	7.37   
11.72   6.96 	6.31   
11.74   6.02 	5.63   
11.76   5.15 	5.13   
11.78   4.37 	4.65   
11.80   4.00 	4.17   
11.82   3.66 	3.70   
11.84   3.33 	3.33   
11.86   3.04 	3.08   
11.88   2.76 	2.85   
11.90   2.47 	2.64   
11.92   2.18 	2.45   
11.94   1.90 	2.26   
11.96   1.80 	2.05   
11.98   1.74 	1.84   
12.00   1.68 	1.67   
12.02   1.62 	1.60   
12.04   1.57 	1.53   
12.06   1.51 	1.48   
12.08   1.43 	1.46   
12.10   1.35 	1.43   
12.12   1.40 	1.41   
12.14   1.57 	1.38   
12.16   1.73 	1.35   
12.18   1.78 	1.31   
12.20   1.80 	1.26   
12.22   1.80 	1.21   
12.24   1.58 	1.12   
12.26   1.32 	1.02   
12.28   1.09 	0.92   
12.30   0.98 	0.85   
12.32   0.91 	0.78   
12.34   0.84 	0.71   
12.36   0.82 	0.68   
12.38   0.80 	0.65   
12.40   0.76 	0.62   
12.42   0.62 	0.57   
12.44   0.48 	0.53   
12.46   0.38 	0.49   
12.48   0.38 	0.47   
12.50   0.40 	0.45   
12.52   0.41 	0.43   
12.54   0.45 	0.43   
12.56   0.49 	0.44   
12.58   0.52 	0.43   
12.60   0.46 	0.37   
12.62   0.40 	0.32   
12.64   0.34 	0.26   
12.66   0.36 	0.24   
12.68   0.38 	0.21   
12.70   0.40 	0.20   
12.72   0.40 	0.21   
12.74   0.40 	0.22   
12.76   0.39 	0.24   
12.78   0.33 	0.24   
12.80   0.24 	0.23   
12.82   0.16 	0.22   
12.84   0.11 	0.22   
12.86   0.08 	0.23   
12.88   0.06 	0.24   
12.90   0.05 	0.22   
12.92   0.08 	0.19   
12.94   0.10 	0.17   
12.96   0.10 	0.13   
12.98   0.04 	0.10   
13.00   0.00 	0.00   
