3.32    0 	0  
3.34    1.41 	1.42   
3.36    2.33 	2.18   
3.38    4.29 	4.42   
3.40    8.07 	7.65   
3.42    13.98 	13.76  
3.44    22.17 	21.82  
3.46    30.34 	29.22  
3.48    35.73 	34.90  
3.50    40.13 	39.64  
3.52    47.38 	46.52  
3.54    57.98 	57.06  
3.56    64.77 	63.81  
3.58    69.99 	68.73  
3.60    79.82 	78.78  
3.62    85.87 	84.33  
3.64    90.46 	88.95  
3.66    93.52 	91.78  
3.68    96.75 	95.01  
3.70    99.03 	97.43  
3.72    100.00 	100.00 
3.74    99.90 	98.71  
3.76    99.11 	97.74  
3.78    97.48 	96.30  
3.80    95.24 	94.07  
3.82    92.05 	90.81  
3.84    88.28 	87.22  
3.86    84.23 	82.95  
3.88    81.08 	79.87  
3.90    76.72 	76.35  
3.92    73.48 	72.60  
3.94    71.07 	70.38  
3.96    69.01 	68.12  
3.98    66.52 	66.24  
4.00    62.62 	62.18  
4.02    58.57 	57.37  
4.04    52.80 	52.09  
4.06    47.06 	46.92  
4.08    41.25 	41.15  
4.10    34.39 	34.48  
4.12    27.45 	27.48  
4.14    20.72 	20.49  
4.16    15.77 	16.12  
4.18    12.37 	12.33  
4.20    7.14 	7.14   
4.22    2.74 	1.87   
4.24    1.69 	1.39   
4.26    1.51 	1.60   
4.28    1.08 	0.98   
4.30    0.77 	1.06   
4.32    1.06 	0.98   
4.34    1.09 	1.10   
4.36    1.28 	0.89   
4.38    0.83 	1.08   
4.40    0.67 	0.77   
4.42    0.42 	0.72   
4.44    0 	0
